"","Date","City","State","Shape","Duration","Description","Posted","lat","long"
"1958",2019-06-24 23:00:00,"Danville","IL","Fireball","15 seconds","Huge orange burning ball in sky. Saw for about 15 seconds then it was gone. ((anonymous report))",2019-08-23,40.125222,-87.6304614
"1959",2019-06-24 22:40:00,"Ladson","SC","Disk","5 minutes","a circular saucer with 3 glowing yellow lights seen in Charleston, SC.",2019-06-27,32.9857275,-80.1098123
"1960",2019-06-24 22:00:00,"Maardu (Estonia)",NA,"Circle","45 minutes","Light sphere two days ago.",2019-07-05,NA,NA
"1961",2019-06-24 21:20:00,"Maardu (Estonia)",NA,"Circle","45 minutes","I apologize but I can understand a lot of English but don't write or answer well! I am Estonian national and speak Estonian and use Goo",2019-07-12,NA,NA
"1962",2019-06-24 20:00:00,"Flagstaff","AZ","Light","10-20 minutes","There was a bright light in the night sky that would appear, disappear and then reappear in a random pattern.",2019-07-05,35.1987522,-111.6518229
"1963",2019-06-24 18:45:00,"Alva","OK","Fireball","1 second","((NUFORC Note: Witness provides virtually no information. Hoax?? Source elects to remain anonymous. PD))",2019-06-27,36.8050308,-98.6664737
"1964",2019-06-24 16:55:00,"Milwaukee","WI","Cylinder","2 minutes","I can see a cylinder crossing at high speed on the sky,from west to downtown,on the back is very dark cloud.. ((anonymous report))",2019-06-27,43.0349931,-87.922497
"1965",2019-06-24 16:30:00,"Nevada","CA","Disk","90 minutes","During drops of chem trails, saucer appeared. Near Pyramid Lake. Proceeding towards N passed susanville. ((anonymous report))",2019-06-27,39.258885,-121.024108770105
"1966",2019-06-24 14:23:00,"Santa Fe","NM","Diamond","10 minutes","Bright clear sky and very little breeze, I noticed something flashing, it was even sparkling, flitting erratically.",2019-06-27,35.6869996,-105.9377997
"1967",2019-06-24 13:26:00,"Newark Airport","NJ","Oval","3 minutes","On identifiable object flying near Newark airport right near airplane and highway",2019-06-27,NA,NA
"1968",2019-06-24 11:40:00,"Alexandria","VA",NA,NA,"MADAR Node 141",2019-06-27,31.199004,29.894378
"1969",2019-06-24 09:30:00,"Philadelphia","PA","Unknown","30","Two shimmering objects in the morning sky hovering 100 feet apart very high up",2019-06-27,31.1610134,-85.1074299
"1970",2019-06-24 08:46:00,"Marshall","MO","Changing",">2 hours","Cigar shaped craft of lights changed shape into separate craft.",2019-06-27,39.1230777,-93.1968704
"1971",2019-06-24 03:15:00,"Lake Hopatcong","NJ","Light","20 minutes","Low flying bright light that stayed for about 15-20 minutes then picked up speed and disappeared",2019-06-27,40.9484317,-74.6171046
"1972",2019-06-24 01:15:00,"Byram","MS","Oval","10 seconds","My husband had walked outside he said from being awakened by the outside Dog. He said the lighted object waa 10 feet above our rushest",2019-07-12,32.1793163,-90.2453671
"1973",2019-06-24 00:00:00,"Edisto Island","SC","Light","11 minutes","Over the ocean, there were three singular lights which eventually joined together. Once joined together and amazingly bright white ligh",2019-06-27,32.5593516,-80.2950995
"1974",2019-06-23 22:00:00,"Elizabeth","PA","Sphere","~4 minutes","5 amber circular shapes going in all directions then formed a arrowhead shape then broke up and left.",2019-07-05,NA,NA
"1975",2019-06-23 20:00:00,"Frederick","MD","Circle","3 seconds","We were driving on our country road with very open area sky above a golf course, there aren’t any street lights in the area. The sky wa",2019-06-27,39.4142186,-77.4109269
"1976",2019-06-23 20:00:00,"Hamden","CT","Light","5 hours","Steady flashing object with three lights hovered in sky",2019-06-27,41.3959287,-72.8968716
"1977",2019-06-23 19:30:00,"Medford","OR","Egg","30 seconds","I noticed a bright white reflective moving object as I got on the freeway. it disappeared and reappeared a couple seconds later further",2019-07-05,42.3264181,-122.8718605
"1978",2019-06-23 18:53:00,"Mountlake Terrace","WA",NA,NA,"MADAR Node 100",2019-06-27,47.7909667,-122.3066395
"1979",2019-06-23 16:00:00,"Chalfont","PA","Cigar","3-5 minutes","4 long cigar-shaped objects spotted in Bucks County, PA. ((anonymous report))",2019-06-27,NA,NA
"1980",2019-06-23 15:30:00,"São Paulo (Brazil)",NA,"Rectangle","1 hora","23/06/2019 Dois ovinis avistado no céu de São Paulo- Brasil as 15:30 do horário de Brasília, fotos e vídeo foram tirados na hora do oco",2019-06-27,NA,NA
"1981",2019-06-23 14:00:00,"Kaysville","UT","Sphere","30 minutes","Balloon.",2019-07-05,41.0349847,-111.9383931
"1982",2019-06-23 14:00:00,"Las Vegas","NV","Circle","2 minutes","Bright white circular object",2019-06-27,36.1672559,-115.1485163
"1983",2019-06-23 07:13:00,"Largo","FL",NA,NA,"MADAR Node 140",2019-06-27,27.9094665,-82.7873244
"1984",2019-06-23 06:47:00,"Farmington Hills","MI",NA,NA,"MADAR Node 144",2019-06-27,42.4853125,-83.3771553
"1985",2019-06-23 02:00:00,"Statesville","NC","Teardrop","4 minutes","Observed one object come across the sky right to left with what I thought were white trail from fireworks looked again noticed a red li",2019-06-27,35.7826363,-80.8872959
"1986",2019-06-23 01:00:00,"Hwy 168","CA","Cylinder","Few minutes","I was traveling on highway 168 heading towards big pine, I was coming from Beatty Nevada. When I was coming down the hill,I looked over",2019-06-27,NA,NA
"1987",2019-06-23 00:24:00,"Brookhaven","PA","Light","Unknown","4 stationary lights in the sky, two on each side of moon. ((anonymous report))",2019-06-27,33.184008,-87.5222276
"1988",2019-06-23 00:15:00,"San Diego","CA","Light","30 seconds","Lights on Mount Helix.",2019-06-27,32.7174202,-117.1627728
"1989",2019-06-22 23:50:00,"Middleburg","FL","Sphere","20-25 seconds","Silent red ball of light moving from West to East until out of sight.",2019-06-27,30.0688512,-81.8603778
"1990",2019-06-22 23:30:00,"Bristol","PA","Light","~5 minutes","Bright red light over Bristol area defies physics. ((anonymous report))",2019-06-27,33.3040973,-87.5758301
"1991",2019-06-22 23:25:00,"Pittsburgh","PA","Light","3 minutes","There were 2 small round lights in the sky going towards each other at a medium rate of speed. No blinking lights and too far away/fast",2019-06-27,NA,NA
"1992",2019-06-22 23:10:00,"Thunder Bay (Canada)","ON","Circle","1-2 seconds","Near the big dipper, a bright white flash of light lasting 1 to 2 seconds outlined moving,black,circular shape. Occurred at the exact s",2019-06-27,NA,NA
"1993",2019-06-22 23:00:00,"Dalton","GA","Light","1 hour plus","3 balls of light dancing around each other",2019-06-27,46.173849,-95.915609
"1994",2019-06-22 22:55:00,"Orchard Lake","MI","Sphere","5-7 minutes","First saw 3 red lights traveling at same speed horizontally, not blinking or in any particular formation, low in the sky moving east to",2019-06-27,NA,NA
"1995",2019-06-22 22:30:00,"Belen","NM","Unknown","2 minutes","4 bright white lights.",2019-06-27,34.6627495,-106.7762
"1996",2019-06-22 22:30:00,"Belen","NM","Changing","2 minutes","I was the passenger in a car, in the back seat on the passengers side. We were driving south on I-25. Our destination was Belen. My unc",2019-06-27,34.6627495,-106.7762
"1997",2019-06-22 22:00:00,"Omaha","IL","Oval","3 seconds","VERY FAST circular object in SE Illinois headed North at high altitude. SUDDENLY turned VERY BRIGHT while enlarging!",2019-06-27,41.2587459,-95.9383758
"1998",2019-06-22 21:40:00,"Tinley park","IL","Cylinder","4 minutes","6/22/19 9:40pm cylinder shape craft moving from NW to E very random flashing lights as if it were taking pictures. ((anonymous report))",2019-06-27,41.5733669,-87.7844944
"1999",2019-06-22 21:00:00,"Baltimore","MD","Triangle","10 minutes","I noticed unusually bright red lights hovering silently over Baltimore last evening. The bright red lights appeared to be in triangula",2019-06-27,39.2908816,-76.610759
"2000",2019-06-22 20:00:00,"Jay","ME","Sphere","3-4 minutes","Bright, illuminous object- sometimes spherical in appearance",2019-07-05,44.504341,-70.21637
"2001",2019-06-22 16:45:00,"Las Vegas","NV","Changing","5 minutes","I live at the Gramercy luxury apartments and was out at 4;45 am to walk the dog looked up saw a humongous black shape sitting in plain",2019-06-27,36.1672559,-115.1485163
"2002",2019-06-22 15:00:00,"North Smithfield","RI","Sphere","2 minutes","Shiny sphere sighted over N. Smithfield farm.",2019-06-27,41.9667652,-71.5495071
"2003",2019-06-22 13:00:00,"Mint Hill","NC","Circle","1 minute","The clouds looked strange that day. One of my favorite relaxation exercises is to Look at the clouds and watch them change.",2019-12-01,35.1735388,-80.6570377
"2004",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2005",NA,NA,NA,NA,NA,"This d",NA,NA,NA
"2006",2019-06-22 10:22:00,"Foresthill","CA","Unknown","2 minutes","The last four nights I’ve seen bright flashes the first night it moved and a zigzag directions. Same with the second night. Third nigh",2019-06-27,39.0201768,-120.8179891
"2007",2019-06-22 07:00:00,"Clayville","NY","Circle","10 minutes","Jets Fly Under UFO Craft Or 7 Orbs. ((anonymous report))",2019-06-27,42.98007,-75.2509966
"2008",2019-06-22 05:30:00,"Long Valley","NJ","Unknown","2 minutes","Heard a loud humming sound (like hovering) over or very close to our home. Then heard it take off into the sky. ((anonymous report))",2019-06-27,40.78168135,-74.7592327981341
"2009",2019-06-21 23:50:00,"Bradenton","FL","Light","3 minutes","3 lights headed over gulf.",2019-06-27,27.4989278,-82.5748194
"2010",2019-06-21 22:45:00,"Fayetteville","NC","Unknown","5 minutes","Flashing from a possible satellite tumbling on its arc.",2019-06-27,35.0525759,-78.878292
"2011",2019-06-21 22:30:00,"Beacon","NY","Circle","1 minute","My wife and I saw 3 green circle lights, bright inside with an outer glow, bouncing around rapidly. ((anonymous report))",2019-06-27,41.504879,-73.9696822
"2012",2019-06-21 22:00:00,"Wilmore","PA","Circle","Hours on and off","At first we thought it was planes, until we realized they don't fly that close together...one that we got best view of multiple flashin",2019-06-27,NA,NA
"2013",2019-06-21 21:50:00,"Madison","ME","Light","45 seconds","While standing outside noticed a white light similar to plane going across sky and then it stopped and looked like a star. Went in to t",2019-06-27,44.7975598,-69.8797794
"2014",2019-06-21 21:30:00,"Glenview","IL","Light","10 seconds","Bright light in sky",2019-06-27,42.0700662,-87.8114044
"2015",2019-06-21 19:30:00,"Lexington","NE","Cigar","2 hours","Location: Lexington, NE; Dawson County Date: 6/21/19 Time: ~19:30 My son noticed what he thought was a balloon in the sky west of Lexi",2019-06-27,38.0464066,-84.4970393
"2016",2019-06-21 18:44:00,"Plano","TX","Cylinder","2 minutes","It was white long cylinder and moved away horizontally.",2019-12-19,33.0136764,-96.6925096
"2017",2019-06-21 07:35:00,"Boise","ID",NA,NA,"MADAR Node 111",2019-06-27,43.6166163,-116.200886
